copy1	copy2	ID.1	ID.2	TEconsensus.1	TEconsensus.2	species.1	species.2	superfamily	mrca	divTime	pID	length	qStart	qEnd	sStart	sEnd	ka	ks	length.aa	community	hitGroup
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991676.1-43312583-43319604-+-GCA_905171775.1:ltr-1_family-524	73	1403838	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.236	7059	1	7036	1	7013	0.0619019750179258	0.286043930039128	6315	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991674.1-60040762-60047751-+-GCA_905171775.1:ltr-1_family-524	73	1396803	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.826	7052	1	7036	1	6981	0.0689474856187501	0.341343108324729	3792	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991672.1-173668873-173675849-+-GCA_905171775.1:ltr-1_family-524	73	1396727	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.656	7052	1	7036	1	6968	0.0626654119098144	0.290039254543949	6273	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991671.1-456415847-456422967-C-GCA_905171775.1:ltr-1_family-524	2	1411923	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.187	7138	1	7036	9	7088	0.060211659920674	0.283562428167793	6300	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991672.1-134317141-134324109-C-GCA_905171775.1:ltr-1_family-524	2	1396712	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.557	7052	1	7037	9	6968	0.0606156302257724	0.296646208312568	6279	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991675.1-187177644-187184612-C-GCA_905171775.1:ltr-1_family-524	2	1396713	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.516	7053	1	7037	9	6968	0.0610706668273173	0.295597177894944	6267	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991671.1-326696571-326703738-+-GCA_905171775.1:ltr-1_family-524	73	1396894	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.922	7160	1	7036	32	7159	0.0645083228662574	0.294815396481279	6324	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-176218630-176225601-C-GCA_905171775.1:ltr-1_family-524	2	1421226	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.444	7052	1	7037	1	6971	0.0662839749048799	0.292253743295852	5835	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-479005062-479012011-+-GCA_905171775.1:ltr-1_family-524	73	1397086	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.244	7037	13	7036	13	6941	0.0653439233692352	0.300920794418558	6252	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-500143171-500150069-+-GCA_905171775.1:ltr-1_family-524	73	1396870	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.97	7049	2	7036	1	6890	0.0605158924019313	0.30066481123878	6258	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-272077586-272084585-+-GCA_905171775.1:ltr-1_family-524	73	1404072	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.039	7052	1	7036	1	6991	0.0604305171392724	0.292621341482143	6300	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991675.1-121697686-121704744-+-GCA_905171775.1:ltr-1_family-524	73	1396855	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.932	7063	1	7036	32	7050	0.0639087431655777	0.296766626682323	6276	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991669.1-288689561-288696683-+-GCA_905171775.1:ltr-1_family-524	73	1412005	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.466	7123	1	7036	32	7122	0.0629999361368194	0.298677795099932	6090	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991677.1-16608260-16615212-+-GCA_905171775.1:ltr-1_family-524	73	1396831	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.596	7050	1	7036	1	6944	0.0602807136401451	0.30100413186428	6303	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-169339573-169346526-+-GCA_905171775.1:ltr-1_family-524	73	1396832	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.585	7052	1	7036	1	6945	0.0614116840625237	0.299560989890731	6300	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991676.1-106207945-106214922-+-GCA_905171775.1:ltr-1_family-524	73	1396728	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.577	7055	1	7036	1	6969	0.0617790665138321	0.300973148413894	6243	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-320578855-320585800-+-GCA_905171775.1:ltr-1_family-524	73	1396729	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.364	7055	1	7036	1	6937	0.0623089893340357	0.264638315587831	4821	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991674.1-150108942-150115875-+-GCA_905171775.1:ltr-1_family-524	73	1396897	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.72	7052	1	7034	1	6933	0.0732537002179009	0.28426730524343	5925	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991675.1-163076965-163083381-C-GCA_905171775.1:ltr-1_family-524	2	1396863	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.284	6571	1	6542	9	6406	0.0776044356556439	0.269901644052402	4002	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991675.1-79447695-79454733-C-GCA_905171775.1:ltr-1_family-524	2	1404510	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.612	7110	1	7037	9	7026	0.072189643739584	0.297038115911039	4491	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-262922043-262928900-+-GCA_905171775.1:ltr-1_family-524	73	1404163	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.214	6891	263	7036	1	6849	0.0592165804592454	0.296407704402206	6138	4200	2394
GCA_905171775.1-LR991681.1-31742796-31749800-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-386078046-386085052-C-GCA_905171775.1:ltr-1_family-524	4	1396807	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.864	7060	1	7004	1	7006	0.101899156542243	0.210228018324522	3849	4200	2394
GCA_905171775.1-LR991681.1-31742796-31749800-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-130323597-130330445-C-GCA_905171775.1:ltr-1_family-524	4	1434837	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.184	7033	1	7004	9	6848	0.0666477681277882	0.289038541311236	3879	4200	2394
GCA_905171775.1-LR991681.1-31742796-31749800-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-2054351-2060833-C-GCA_905171775.1:ltr-1_family-524	4	1404511	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.802	6539	152	6636	1	6482	0.0812440621508006	0.254556852162372	3222	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991671.1-42237347-42244323-C-GCA_905171775.1:ltr-1_family-524	2	1396714	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.503	7061	1	7037	9	6976	0.0610686842710944	0.295001260743446	6267	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991673.1-580252-587228-C-GCA_905171775.1:ltr-1_family-524	2	1396715	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.489	7061	1	7037	9	6976	0.061345233614711	0.295001260743446	6267	4200	2394
GCA_905171775.1-LR991680.1-670459720-670466725-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-386078046-386085052-C-GCA_905171775.1:ltr-1_family-524	3	1396807	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.295	7056	1	7005	1	7006	0.0777003878219973	0.264843149935722	4215	4200	2394
GCA_905171775.1-LR991685.1-216865421-216872426-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-386078046-386085052-C-GCA_905171775.1:ltr-1_family-524	1	1396807	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.281	7056	1	7005	1	7006	0.0771811781850853	0.266539467936843	4215	4200	2394
GCA_905171775.1-LR991680.1-670459720-670466725-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-130323597-130330445-C-GCA_905171775.1:ltr-1_family-524	3	1434837	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.812	7020	1	7005	9	6848	0.0654586051478493	0.276167909123526	5346	4200	2394
GCA_905171775.1-LR991685.1-216865421-216872426-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-130323597-130330445-C-GCA_905171775.1:ltr-1_family-524	1	1434837	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.798	7020	1	7005	9	6848	0.0653801944815957	0.277521339765068	5346	4200	2394
GCA_905171775.1-LR991680.1-670459720-670466725-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-2054351-2060833-C-GCA_905171775.1:ltr-1_family-524	3	1404511	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.106	6538	152	6636	1	6482	0.0738020718534604	0.272119311222836	5529	4200	2394
GCA_905171775.1-LR991685.1-216865421-216872426-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-2054351-2060833-C-GCA_905171775.1:ltr-1_family-524	1	1404511	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.076	6538	152	6636	1	6482	0.0743664230517862	0.273390120667669	5529	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991671.1-425651354-425658330-+-GCA_905171775.1:ltr-1_family-524	73	1396840	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.433	7061	1	7036	1	6968	0.0612756571835432	0.298160683888364	6264	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-52532438-52539406-+-GCA_905171775.1:ltr-1_family-524	73	1396842	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.418	7061	1	7036	1	6968	0.0614782864826029	0.298031525528034	6264	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991672.1-145925511-145932487-+-GCA_905171775.1:ltr-1_family-524	73	1396841	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.418	7061	1	7036	1	6968	0.0614782864826029	0.298031525528034	6264	4200	2394
GCA_905171775.1-LR991688.1-140571596-140578599-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-386078046-386085052-C-GCA_905171775.1:ltr-1_family-524	5	1396807	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.01	7055	1	7003	1	7006	0.0794837591734857	0.273085705964713	4173	4200	2394
GCA_905171775.1-LR991688.1-140571596-140578599-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-130323597-130330445-C-GCA_905171775.1:ltr-1_family-524	5	1434837	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	85.166	7031	1	7003	9	6848	0.0678320340520214	0.288333437147609	5295	4200	2394
GCA_905171775.1-LR991688.1-140571596-140578599-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-2054351-2060833-C-GCA_905171775.1:ltr-1_family-524	5	1404511	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.785	6538	151	6634	1	6482	0.0761578817136631	0.279379759517203	5472	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-347762956-347769992-C-GCA_905171775.1:ltr-1_family-524	2	1396716	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.319	7058	1	7037	9	7036	0.06128930118295	0.294771062812894	6315	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991671.1-453934064-453941130-C-GCA_905171775.1:ltr-1_family-524	2	1396921	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.15	7074	1	7025	9	7062	0.0601800606965859	0.294066753950887	6339	4200	2394
GCA_905171775.1-LR991685.1-216865421-216872426-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-583956532-583963522-C-GCA_905171775.1:ltr-1_family-524	1	1396708	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.992	7034	1	7005	9	6990	0.0640357257220815	0.286369235466459	6297	4200	2394
GCA_905171775.1-LR991680.1-670459720-670466725-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-583956532-583963522-C-GCA_905171775.1:ltr-1_family-524	3	1396708	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.978	7034	1	7005	9	6990	0.0645064524506073	0.285179234501816	6297	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-114904638-114911589-C-GCA_905171775.1:ltr-1_family-524	2	1396717	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.64	7051	1	7036	9	6951	0.0601048868414397	0.303971865835303	6285	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991667.1-246328852-246335788-C-GCA_905171775.1:ltr-1_family-524	2	1396723	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.278	7040	1	7025	9	6932	0.0620507669716286	0.297294784747669	6240	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991675.1-62713957-62720960-+-GCA_905171775.1:ltr-1_family-524	73	1396722	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.404	7046	13	7036	13	6995	0.0707023018471515	0.290916706298097	6273	4200	2394
GCA_905171775.1-LR991681.1-31742796-31749800-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-583956532-583963522-C-GCA_905171775.1:ltr-1_family-524	4	1396708	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.457	7044	1	7004	9	6990	0.0725326795764926	0.275207553568037	3888	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991671.1-52988229-52995271-C-GCA_905171775.1:ltr-1_family-524	2	1396709	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.353	7061	1	7037	9	7042	0.0604382389301901	0.294415918759676	6318	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-570015682-570022790-C-GCA_905171775.1:ltr-1_family-524	2	1396903	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	87.078	7073	1	7025	9	7065	0.0598229233931293	0.304174616008235	6342	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-176846742-176853866-C-GCA_905171775.1:ltr-1_family-524	2	1396861	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.713	7097	1	7025	9	7081	0.0638705571670785	0.292193407499404	6324	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991670.1-111370367-111377329-+-GCA_905171775.1:ltr-1_family-524	73	1396837	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.794	7050	1	7036	1	6954	0.0608947323565894	0.292280829769	6297	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-708695996-708703177-C-GCA_905171775.1:ltr-1_family-524	2	1402271	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.301	7161	1	7037	9	7150	0.0615806741628183	0.29365542853496	6333	4200	2394
GCA_905171775.1-LR991685.1-188801281-188808317-+-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-390051260-390058258-+-GCA_905171775.1:ltr-1_family-524	73	1397093	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.826	7052	2	7036	1	6990	0.0607916430479741	0.307093088093555	6282	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991668.1-537448936-537455902-C-GCA_905171775.1:ltr-1_family-524	2	1396731	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.67	7052	1	7037	9	6966	0.061172422357883	0.289742049589687	6261	4200	2394
GCA_905171775.1-LR991692.1-5646856-5653893-C-GCA_905171775.1:ltr-1_family-524	GCA_905171765.1-LR991672.1-437946812-437953735-C-GCA_905171775.1:ltr-1_family-524	2	1396718	GCA_905171775.1:ltr-1_family-524	GCA_905171775.1:ltr-1_family-524	Rana_temporaria	Bufo_bufo	LTR/Pao	270	298.424	86.63	7038	1	7025	1	6919	0.060437484142414	0.288479299204549	6279	4200	2394
